Loci	Mean_rho	Median	L95	U95
410	0.00202	0.00149	0.00011	0.00793
411	0.00202	0.00149	0.00011	0.00793
412	0.00217	0.00156	0.00011	0.00793
413	0.00206	0.00156	0.00011	0.00793
414	0.00243	0.00167	0.00011	0.00937
415	0.00243	0.0016	0.00011	0.00937
416	0.00252	0.00179	0.00011	0.00937
417	0.00242	0.00164	0.00011	0.00937
418	0.0024	0.0016	0.00011	0.00937
419	0	0	0	0
420	0.0024	0.0016	0.00011	0.00937
421	0.00249	0.00167	0.00011	0.00937
422	0.00274	0.00187	0.00011	0.00937
423	0.00248	0.00163	0.00011	0.00937
424	0	0	0	0
425	0.00247	0.00163	0.00011	0.00937
426	0.00256	0.00187	0.00011	0.00937
427	0.00273	0.00187	0.00011	0.00937
428	0.00272	0.00179	0.00011	0.00937
429	0.00302	0.00187	0.00011	0.01039
430	0.00195	0.00147	0.00011	0.00606
431	0.00197	0.00156	0.00011	0.00606
432	0.00195	0.00147	0.00011	0.00606
433	0.00195	0.00147	0.00011	0.00606
434	0.00194	0.00147	0.00011	0.00606
435	0.00194	0.00147	0.00011	0.00606
436	0.00195	0.00139	0.00011	0.00606
437	0.00208	0.00154	0.00011	0.00606
438	0.00236	0.0016	0.00011	0.00627
439	0.00268	0.00187	0.00011	0.00894
440	0.00268	0.00187	0.00011	0.00894
441	0.00268	0.00187	0.00011	0.00894
442	0.00234	0.00156	0.00011	0.00606
443	0.00224	0.00156	0.00011	0.00606
444	0.00203	0.00143	0.00011	0.00606
445	0.00208	0.00148	0.00011	0.00606
446	0.00211	0.00155	0.00011	0.00577
447	0.0022	0.00167	0.00011	0.00577
448	0.00197	0.00156	0.00011	0.00577
449	0.00182	0.00139	0.00011	0.00577
450	0.00181	0.00136	0.00011	0.00577
451	0.0018	0.00134	0.00011	0.00577
452	0.0018	0.00134	0.00011	0.00577
453	0.0018	0.00134	0.00011	0.00577
454	0.002	0.0016	0.00011	0.00577
455	0.00189	0.00148	0.00011	0.00577
456	0.00193	0.00167	0.00011	0.00577
457	0.00189	0.00161	0.00011	0.00577
458	0.0019	0.00161	0.00011	0.00577
459	0.00196	0.00164	0.00011	0.00577
460	0.00202	0.00175	0.00011	0.00581
461	0.00201	0.00146	0.00011	0.00581
462	0.00215	0.00187	0.00011	0.00581
463	0.00216	0.00187	0.00011	0.00581
464	0.00195	0.00139	0.00011	0.00581
465	0.00197	0.00156	0.00011	0.00581
466	0.002	0.00164	0.00011	0.00581
467	0.00198	0.00154	0.00011	0.00581
468	0.00197	0.00148	0.00011	0.00581
469	0.00194	0.00139	0.00011	0.00581
470	0.00212	0.00179	0.00011	0.00581
471	0.0019	0.00137	0.00011	0.00581
472	0.00184	0.00125	0.00011	0.00581
473	0.00197	0.00162	0.00011	0.00581
474	0.0021	0.00156	0.00011	0.00581
475	0.00216	0.00187	0.00011	0.00581
476	0.00215	0.00186	0.00011	0.00581
477	0	0	0	0
478	0	0	0	0
479	0.00215	0.00179	0.00011	0.00581
480	0.00217	0.00177	0.00011	0.00581
481	0.0023	0.00187	0.00011	0.00581
482	0.0022	0.00187	0.00011	0.00581
483	0.0022	0.00187	0.00011	0.00581
484	0.00194	0.00161	0.00011	0.00581
485	0.00197	0.00176	0.00011	0.00577
486	0	0	0	0
487	0	0	0	0
488	0	0	0	0
489	0	0	0	0
490	0	0	0	0
491	0.00197	0.00176	0.00011	0.00577
492	0	0	0	0
493	0.00215	0.00187	0.00011	0.00577
494	0.00193	0.00154	0.00011	0.00577
495	0	0	0	0
496	0.00193	0.00154	0.00011	0.00577
497	0.00194	0.0016	0.00011	0.00577
498	0.00194	0.0016	0.00011	0.00577
499	0.00195	0.0016	0.00011	0.00577
500	0.00204	0.00185	0.00011	0.00577
501	0.00196	0.00164	0.00011	0.00577
502	0.00185	0.00141	0.00011	0.00577
503	0.00189	0.00154	0.00011	0.00577
504	0.00186	0.00143	0.00011	0.00577
505	0.00186	0.00143	0.00011	0.00577
506	0.00189	0.00154	0.00011	0.00577
507	0.00194	0.00167	0.00011	0.00577
508	0.00188	0.00147	0.00011	0.00577
509	0.00192	0.00147	0.00011	0.00577
510	0.00192	0.00147	0.00011	0.00577
511	0.00186	0.00139	0.00011	0.00577
512	0.00188	0.00139	0.00011	0.00636
513	0.00193	0.00139	0.00011	0.00636
514	0.00211	0.00186	0.00011	0.00636
515	0.00209	0.00177	0.00011	0.00636
516	0.0019	0.00143	0.00011	0.00636
517	0.0019	0.00143	0.00011	0.00636
518	0.00193	0.00149	0.00011	0.00636
519	0.00198	0.00158	0.00011	0.00636
520	0.00198	0.00158	0.00011	0.00636
521	0.002	0.00163	0.00011	0.00636
522	0.002	0.00163	0.00011	0.00636
523	0.002	0.00163	0.00011	0.00636
524	0.002	0.00163	0.00011	0.00636
525	0.00204	0.00167	0.00011	0.00636
526	0.00191	0.00139	0.00011	0.00636
527	0.00209	0.00134	0.00011	0.00814
528	0.00215	0.00134	0.00011	0.00814
529	0.00215	0.00134	0.00011	0.00814
530	0.00215	0.00134	0.00011	0.00814
531	0	0	0	0
532	0.00215	0.00137	0.00011	0.00814
533	0.00234	0.00187	0.00011	0.00855
534	0.00234	0.00187	0.00011	0.00855
535	0	0	0	0
536	0	0	0	0
537	0	0	0	0
538	0.00345	0.00187	0.00011	0.01624
539	0.00345	0.00187	0.00011	0.01624
540	0.00289	0.00149	0.00011	0.01624
541	0.00277	0.00149	0.00011	0.01624
542	0.00194	0.00128	0.00011	0.00679
543	0.0022	0.00187	0.00011	0.00679
544	0.00217	0.00187	0.00011	0.00636
545	0.00233	0.00154	0.00011	0.01197
546	0.00226	0.00164	0.00011	0.00679
547	0.00202	0.00163	0.00011	0.00636
548	0.00202	0.00163	0.00011	0.00636
549	0.00189	0.00125	0.00011	0.00636
550	0.00208	0.00139	0.00011	0.00669
551	0.00217	0.00156	0.00011	0.00669
552	0.00217	0.00156	0.00011	0.00669
553	0.00206	0.00136	0.00011	0.00669
554	0.00207	0.00144	0.00011	0.00669
555	0.00207	0.00143	0.00011	0.00669
556	0.0021	0.00143	0.00011	0.00669
557	0.0028	0.00187	0.00011	0.01197
558	0.00301	0.00187	0.00011	0.01197
559	0.0028	0.00176	0.00011	0.01197
560	0.0028	0.00177	0.00011	0.01197
561	0.00217	0.00164	0.00011	0.00679
562	0.00217	0.00164	0.00011	0.00679
563	0.00217	0.00164	0.00011	0.00679
564	0.00217	0.00164	0.00011	0.00679
565	0.00264	0.00187	0.00011	0.00986
566	0	0	0	0
567	0	0	0	0
568	0	0	0	0
569	0.00291	0.00187	0.00011	0.00986
570	0.00234	0.00143	0.00011	0.00911
571	0	0	0	0
572	0.00225	0.0016	0.00011	0.00838
573	0.0023	0.00172	0.00011	0.00838
574	0.00231	0.00164	0.00011	0.00838
575	0	0	0	0
576	0.00222	0.00179	0.00011	0.00669
577	0.00197	0.00129	0.00011	0.00636
578	0.00196	0.00127	0.00011	0.00636
579	0	0	0	0
580	0.00242	0.0015	0.00011	0.00849
581	0.00253	0.0015	0.00011	0.00849
582	0.00248	0.0015	0.00011	0.00849
583	0.00292	0.00189	0.00011	0.01083
584	0.0022	0.00189	0.00011	0.00636
585	0.0022	0.00189	0.00011	0.00636
586	0.00211	0.00164	0.00011	0.00636
587	0.00194	0.00139	0.00011	0.00636
588	0.00212	0.00189	0.00011	0.00636
589	0.0021	0.00164	0.00011	0.00636
590	0.00218	0.00189	0.00011	0.00636
591	0.00218	0.00189	0.00011	0.00636
592	0.00215	0.00187	0.00011	0.00636
593	0.00215	0.00187	0.00011	0.00636
594	0.00214	0.00186	0.00011	0.00636
595	0	0	0	0
596	0.00209	0.00182	0.00011	0.00636
597	0.00188	0.00137	0.00011	0.00636
598	0.00191	0.00139	0.00011	0.00636
599	0.00191	0.00139	0.00011	0.00636
600	0.0019	0.00139	0.00011	0.00636
601	0.0019	0.00132	0.00011	0.00636
602	0.0019	0.00132	0.00011	0.00636
603	0.0019	0.00132	0.00011	0.00636
604	0.00206	0.00174	0.00011	0.00636
605	0.002	0.00174	0.00011	0.00636
606	0.002	0.00174	0.00011	0.00636
607	0.00193	0.00156	0.00011	0.00636
608	0.00193	0.00156	0.00011	0.00636
609	0.00193	0.00156	0.00011	0.00636
610	0.00191	0.00147	0.00011	0.00636
611	0.00192	0.00147	0.00011	0.00636
612	0.00192	0.0016	0.00011	0.00636
613	0.00194	0.00156	0.00011	0.00636
614	0.0021	0.00164	0.00011	0.00636
615	0.00211	0.00164	0.00011	0.00636
616	0.00203	0.00151	0.00011	0.00636
617	0.00188	0.00136	0.00011	0.00636
618	0	0	0	0
619	0	0	0	0
620	0.00196	0.00136	0.00011	0.00636
621	0	0	0	0
622	0.00209	0.00156	0.00011	0.00636
623	0	0	0	0
624	0.00226	0.00176	0.00011	0.00636
625	0.00236	0.00178	0.00011	0.00668
626	0.00271	0.00186	0.00011	0.00957
627	0.00286	0.00156	0.00011	0.01197
628	0.00373	0.00194	0.00011	0.01208
629	0.00329	0.00195	0.00011	0.01197
630	0.08722	0.00193	0.00011	1.0617
631	0.09628	0.00167	0.00011	1.71497
632	0.10387	0.00226	0.00011	1.71497
633	0.22532	0.00267	0.00011	3.03997
634	0.42866	0.00226	0.00011	3.37037
635	0.59781	0.00299	0.00011	4.27433
636	0.65681	0.00373	0.00011	4.27433
637	0.78733	0.00473	0.00011	4.29543
638	0.9386	0.00492	0.00011	4.29543
639	1.01155	0.00499	0.00014	4.31492
640	1.10021	0.00558	0.00014	4.64161
641	1.3915	0.7811	0.00015	5.11432
642	1.48675	1.13979	0.00026	5.57543
643	1.52591	1.1864	0.00026	5.57543
644	1.70097	1.59461	0.00026	5.93621
645	1.90183	1.82513	0.00026	5.95047
646	2.04008	1.97823	0.00148	5.95047
647	2.17701	2.04589	0.00107	6.08741
648	2.18157	2.04589	0.00206	6.08741
649	2.18184	2.04589	0.00251	6.08741
650	2.18131	2.04589	0.00038	6.08741
651	2.18146	2.04589	0.00158	6.08741
652	2.18151	2.04589	0.0026	6.08741
653	2.17419	2.04589	0.00139	6.08741
654	2.1741	2.04589	0.00097	6.08741
655	2.17406	2.04589	0.00101	6.08741
656	2.174	2.04589	0.00101	6.08741
657	2.16772	2.03334	0.00139	6.08741
658	2.16784	2.03334	0.00206	6.08741
659	2.14117	2.01264	0.00206	6.00245
660	2.14097	2.01264	0.00139	6.00245
661	2.14097	2.01264	0.00139	6.00245
662	2.12274	2.01179	0.00139	6.00245
663	2.12274	2.01179	0.00139	6.00245
664	2.0996	1.99884	0.00143	5.93953
665	0	0	0	0
666	0	0	0	0
667	0	0	0	0
668	0	0	0	0
669	0	0	0	0
670	0	0	0	0
671	0	0	0	0
672	0	0	0	0
673	0	0	0	0
674	0	0	0	0
675	0	0	0	0
676	2.07097	1.9901	0.0013	5.93953
677	1.99522	1.90336	0.00161	5.93003
678	1.94381	1.85416	0.00161	5.93003
679	1.82603	1.7375	0.00161	5.65793
680	1.80603	1.72025	0.00095	5.65793
681	1.80613	1.72025	0.00135	5.65793
682	1.80621	1.72025	0.00139	5.65793
683	1.7926	1.71497	0.00123	5.65793
684	1.79208	1.6996	0.00126	5.65793
685	1.75876	1.69602	0.00236	5.57543
686	1.73252	1.63968	0.00171	5.57543
687	1.61755	1.43645	0.00171	5.18779
688	1.53899	1.16831	0.00171	5.18779
689	1.48896	1.0617	0.00171	5.18779
690	1.43511	0.7351	0.00171	5.18779
691	1.34596	0.34064	0.00265	5.00496
692	1.31431	0.30106	0.00139	5.00496
693	1.3033	0.24187	0.00265	5.00496
694	1.29459	0.21921	0.0025	5.00496
695	1.27565	0.17802	0.00158	5.00496
696	1.19288	0.13741	0.00139	5.00496
697	1.15051	0.13367	0.00084	5.00496
698	1.12603	0.12741	0.00287	5.00496
699	1.11446	0.12703	0.00045	5.00496
700	1.08417	0.12615	0.00176	5.00496
701	1.06014	0.11295	0.00175	5.00496
702	0.99048	0.10562	0.00175	5.00496
703	0.88879	0.09975	0.00175	4.94126
704	0.78757	0.09505	0.00175	4.94126
705	0.74973	0.0926	0.00087	4.94126
706	0.71752	0.09079	0.00201	4.94126
707	0.71755	0.09079	0.00112	4.94126
708	0.71156	0.09079	0.00314	4.94126
709	0.71264	0.09079	0.00535	4.94126
710	0.71225	0.09079	0.00147	4.94126
711	0.71015	0.09079	0.01016	4.94126
712	0.70369	0.09079	0.0021	4.94126
713	0.70341	0.09079	0.00219	4.94126
714	0.70003	0.09079	0.00219	4.94126
715	0.68756	0.0906	0.00219	4.94126
716	0.61267	0.08835	0.00219	4.67973
717	0.59988	0.08793	0.00127	4.67973
718	0.5994	0.08793	0.00103	4.67973
719	0	0	0	0
720	0.57295	0.08764	0.0021	4.21099
721	0.53158	0.08748	0.0021	4.21099
722	0.48483	0.08727	0.00066	4.06195
723	0.44133	0.08499	0.00151	3.96061
724	0.33492	0.0819	0.0019	3.28794
725	0.22227	0.07912	0.00224	2.21201
726	0.17419	0.07736	0.00224	2.08245
727	0.16234	0.07736	0.00093	1.25223
728	0.1357	0.0768	0.00068	0.22746
729	0.07327	0.07488	0.00068	0.17833
730	0.07137	0.07488	0.00068	0.17309
731	0.07141	0.07488	0.00048	0.17309
732	0.07162	0.07488	0.00107	0.17309
733	0	0	0	0
734	0.07161	0.07488	0.00127	0.17309
735	0.07152	0.07488	0.00135	0.17309
736	0	0	0	0
737	0	0	0	0
